Species,shift,Poleward range edge shift (m/year),Equatorward range edge shift (m/year),height,Protection status Queensland,Protection status New South Wales,Protection status higher in Queensland (y/n),plantnet
Acacia baeuerlenii,2611.043734,-303.9587477,2460.87,3,Least concern,Not listed,,
Acacia floydii,-145.5342139,180.375,-4902.647996,4.5,Not listed,Not listed,,
Acacia macnuttiana,-1047.67127,-2619.6,-50.26011751,3,Vulnerable,Vulnerable,,
Acacia ruppii,-190.4316394,68.46606725,39.75865116,3,Endangered,Endangered,,
Acacia torringtonensis,-29.15208538,-280.51587,576.9825706,2,Not listed,Not listed,,
Acronychia suberosa,-60.61413361,-346.714905,3.866701033,20,Least concern,Not listed,,
Acrothamnus melaleucoides,-1500.493369,-2454.735875,-43.93232101,1,Least concern,Not listed,,
Alexfloydia repens,-547.7389891,-2007.48778,17.094925,0.25,Not listed,Endangered,,
Allocasuarina rupicola,361.3071163,40.98271039,575.6583358,3,Near threatened,Not listed,,
Angophora robur,-273.8429792,-74.29221462,-558.157173,10,Vulnerable,Vulnerable,,
Asplenium harmanii,-77.92278549,27.40713333,-106.6358984,1.3,Least concern,Not listed,,
Astrotricha roddii,-936.6290061,-259.3865575,-2574.245344,3.5,Endangered,Endangered,,
Boronia hapalophylla,-668.6515484,128.4936,-941.50681,3,Not listed,Endangered,,
Boronia repanda,-31.74241092,49.64727374,1.513636364,1.5,Endangered,Endangered,,
Brachyloma saxicola,3230.712159,176.1453203,1398.416357,4,Not listed,Not listed,,
Brachyscome ascendens,-267.2955809,11.07048409,-230.8295303,0.35,Vulnerable,Endangered,,
Conospermum burgessiorum,232.1842048,70.61822186,221.6074636,3,Near threatened,Not listed,,
Corokia whiteana,-94.23236229,-104.2313646,-260.4744148,4,Vulnerable,Vulnerable,,
Cyperus rupicola,-93.77505258,263.8032262,10.08818295,1,Vulnerable,Vulnerable,,
Cyperus semifertilis,-710.692662,-615.8894737,48.4613457,0.6,Vulnerable,Endangered,,
Dendrobium monophyllum,-1050.073352,33.4186405,-366.0810542,0.12,Least concern,Not listed,,
Desmodium acanthocladum,-220.0506754,866.0984929,-402.0389746,2,Vulnerable,Vulnerable,,
Endiandra floydii,-918.6006833,-697.3609026,-400.5718536,15,Endangered,Endangered,,
Endiandra hayesii,-883.074215,-1024.577327,-317.719919,35,Vulnerable,Vulnerable,,
Eucalyptus codonocarpa,-208.0602172,-19.14536325,-146.0746919,6,Near threatened,Endangered,,
Eucalyptus infera,931.2333632,652.160996,64.02543068,8,Vulnerable,Vulnerable,,
Eucalyptus magnificata,-1058.112687,-359.5810019,-2989.94511,15,Not listed,Endangered,,
Eucalyptus olida,-1779.820486,-666,-404.6875,20,Not listed,Not listed,,
Eucalyptus ophitica,-238.9966845,-867.6647964,-30.597002,15,Not listed,Not listed,,
Euphrasia bella,-22.03511494,295.20635,-4.1500062,0.3,Vulnerable,Vulnerable,,
Fontainea australis,-265.5580782,-656.3399603,-13.84218119,5,Vulnerable,Vulnerable,,
Gaultheria viridicarpa,1079.235307,-4.181583462,-5.55,0.7,Endangered,Endangered,,
Gingidia rupicola,-76.64787067,-32.64705882,-68.15789493,0.5,Endangered,Endangered,,
Gossia gonoclada,123.2735149,-383.292583,1255.67122,18,Endangered,Endangered,,
Grevillea quadricauda,-3844.804879,-213.1042221,-486.5024822,2,Vulnerable,Vulnerable,,
Grevillea rhizomatosa,-45.21083118,-9.812404826,8.196562909,1,Vulnerable,Vulnerable,,
Grevillea viridiflava,342.9752334,30.83338696,313.0500625,1,Least concern,Not listed,,
Hakea macrorrhyncha,-811.0044546,336.4647041,-3142.260835,4.5,Vulnerable,Not listed,,
Hibbertia kaputarensis,308.1244788,-161.587843,830.1450501,0.6,Not listed,Not listed,,
Homoranthus lunatus,-1046.048254,-77.7,-2443.479997,0.4,Vulnerable,Vulnerable,,
Hovea ramulosa,-1264.515213,-59.71718011,-78.06768393,2.2,Least concern,Not listed,,
Isoglossa eranthemoides,-570.2975849,-47.46775374,-361.1979146,0.2,Endangered,Endangered,,
Isopogon mnoraifolius,-607.7869686,-296.6005214,-1144.228164,0.8,Not listed,Not listed,,
Jacksonia chappilliae,-0.718612378,37.33636364,100.6229875,2,Not listed,Not listed,,
Kardomia odontocalyx,-22.86340858,330.3957797,222.7001325,2,Not listed,Not listed,,
Leionema gracile,12.87041802,-77.50493728,115.5395743,1.5,Vulnerable,Not listed,,
Leionema obtusifolium,523.4744629,170.3719429,1186.735785,1,Vulnerable,Vulnerable,,
Lepyrodia oligocolea,-1859.15973,-12.29870486,261.1042661,1,Not listed,Not listed,,
Lilaeopsis brisbanica,-255.1032976,-127.2786199,-4205.617183,0.04,Endangered,Not listed,,
Macrozamia fawcettii,-331.4780075,590.7307844,-659.1747911,1.1,Not listed,Not listed,,
Meiogyne stenopetala,517.4713211,872.8204597,875.910078,2.5,Least concern,Not listed,,
Melaleuca tortifolia,1337.980614,29.35099,3208.820623,4.5,Not listed,Not listed,,
Mischocarpus ailae,-52.95276193,-205.2367329,-33.14582562,4,Least concern,Not listed,,
Ochrosia moorei,-200.15095,-167.8191819,-130.1398821,9,Endangered,Endangered,,
Ozothamnus vagans,-127.9665015,18.9085224,-2.061358646,2,Vulnerable,Endangered,,
Persoonia adenantha,-124.8340222,-286.8632214,-560.9911903,9,Least concern,Not listed,,
Persoonia rufa,-409.7711173,-491.776427,-1010.649947,2,Not listed,Not listed,,
Pimelea gigandra,-229.5689284,-365.1315789,-1147.046249,3,Least concern,Not listed,,
Plectranthus habrophyllus,51.85211605,-0.510137269,-19.116642,1,Endangered,Endangered,,
Podolepis monticola,-122.6305512,-38.541975,-9.77E-12,0.5,Vulnerable,Not listed,,
Pomaderris notata,-241.5077382,-1711.440813,-14.96817913,2,Vulnerable,Vulnerable,,
Prostanthera sejuncta,476.9909386,532.8543361,-416.9643859,0.5,Not listed,Vulnerable,,
Pultenaea hartmannii,-275.8474847,-2387.61,-165.1595825,5,Least concern,Not listed,,
Pultenaea tarik,-65.58395188,-118.3275739,110.9440775,1,Not listed,Not listed,,
Randia moorei,-139.8584513,76.625964,-407.4404771,3,Endangered,Endangered,,
Rhodamnia whiteana,-37.26966914,-378.3702409,382.7976562,18,Least concern,Not listed,,
Solanum acanthodapis,-113.5815315,-94.79147727,1089.709281,0.3,Not listed,Not listed,,
Symplocos baeuerlenii,-40.37404649,30.72179837,-13.41949406,7,Vulnerable,Vulnerable,,
Triunia youngiana,-174.4929383,-57.71999112,-51.38888889,4,Least concern,Not listed,,
Uromyrtus australis,244.375952,108.6451674,12.125196,12,Endangered,Endangered,,
Westringia rupicola,31.77372075,-41.46550448,226.6250027,1,Vulnerable,Vulnerable,,
Zieria hindii,1.576001481,-19.50825,133.7388828,1,Not listed,Not listed,,